psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
-21.175236,19.136538,81.189835,1.000000,0.000000,0.000000,0.000000,-29.079018,10.698902,15.573663,-0.982596,-0.024115,-0.177043,-0.050795
-21.998287,18.397663,81.693497,1.000000,0.000000,0.000000,0.000000,-29.757807,9.425588,15.734725,-0.981644,-0.018384,-0.181882,-0.054362
-22.955891,17.708973,82.823502,1.000000,0.000000,0.000000,0.000000,-30.295042,8.231070,15.879435,-0.980962,-0.013088,-0.185292,-0.056646
-23.804289,17.002365,84.099808,1.000000,0.000000,0.000000,0.000000,-30.750751,7.018013,16.001795,-0.980413,-0.006275,-0.188094,-0.058071
-24.210445,16.198534,84.604301,1.000000,0.000000,0.000000,0.000000,-31.140625,5.610125,16.100555,-0.979780,0.001606,-0.191278,-0.058669
-24.619263,15.244754,85.279205,1.000000,0.000000,0.000000,0.000000,-31.372925,4.309400,16.175961,-0.978981,0.007661,-0.195181,-0.058670
-24.973389,14.256058,86.095062,1.000000,0.000000,0.000000,0.000000,-31.500711,2.990594,16.243662,-0.978148,0.012534,-0.199002,-0.058882
-25.472134,13.233624,87.787872,1.000000,0.000000,0.000000,0.000000,-31.549812,1.494566,16.304628,-0.977629,0.018441,-0.201029,-0.059058
-25.592007,12.278008,88.670486,1.000000,0.000000,0.000000,0.000000,-31.510098,0.141803,16.340956,-0.977451,0.026570,-0.201187,-0.058372
-25.747181,11.228230,89.992767,1.000000,0.000000,0.000000,0.000000,-31.374413,-1.199382,16.370686,-0.976980,0.036050,-0.202454,-0.056770
-25.644936,10.151476,90.804337,1.000000,0.000000,0.000000,0.000000,-31.086763,-2.736541,16.397598,-0.976173,0.044183,-0.205415,-0.054221
-25.359041,9.037325,91.354935,1.000000,0.000000,0.000000,0.000000,-30.738031,-4.116985,16.437405,-0.975597,0.049309,-0.207562,-0.051938
-25.187368,7.884681,92.660904,1.000000,0.000000,0.000000,0.000000,-30.294939,-5.472978,16.463150,-0.975339,0.054840,-0.207880,-0.049925
-24.996681,6.711256,94.457993,1.000000,0.000000,0.000000,0.000000,-29.685343,-6.983581,16.459314,-0.975027,0.063757,-0.207343,-0.047604
-24.470539,5.687547,95.039536,1.000000,0.000000,0.000000,0.000000,-29.048201,-8.307722,16.444891,-0.974272,0.072601,-0.208492,-0.045323
-23.878199,4.558224,95.710724,1.000000,0.000000,0.000000,0.000000,-28.326071,-9.583714,16.424131,-0.973304,0.079582,-0.210781,-0.043781
-23.168976,3.433313,96.315659,1.000000,0.000000,0.000000,0.000000,-27.440666,-10.977516,16.404179,-0.972390,0.087677,-0.211667,-0.044356
-22.535217,2.210726,97.933846,1.000000,0.000000,0.000000,0.000000,-26.581209,-12.199011,16.351582,-0.972176,0.095921,-0.208733,-0.045868
-21.900074,1.120085,99.845734,1.000000,0.000000,0.000000,0.000000,-25.682318,-13.372707,16.292446,-0.972076,0.105008,-0.204690,-0.046300
-20.898706,0.252517,99.865990,1.000000,0.000000,0.000000,0.000000,-24.601412,-14.635736,16.213577,-0.971882,0.114973,-0.200373,-0.045579
-19.970472,-0.751177,100.809280,1.000000,0.000000,0.000000,0.000000,-23.475542,-15.856033,16.145267,-0.972201,0.122859,-0.194077,-0.045443
